file type,ammount of files
,3772
cmd,1
enc,4
fea,4
gif,1
glif,186879
idml,10
indd,33
jpg,4
key,1
md,2
mov,2
nam,1
numbers,3
otf,213
pdf,70
plist,1240
png,26
pptx,1
py,6
rtf,1
sh,2
sp3,6
tif,19
ttf,15
txt,16
webloc,4
xml,2
zip,2
